PROMEDIO;STD;APRO_N1;APRO_N2;APRO_N3;APRO_N4;APRO_N5;APRO_N6;APRO_N7;APRO_N8;PERD_N1;PERD_N2;PERD_N3;PERD_N4;PERD_N5;PERD_N6;PERD_N7;PERD_N8;RETIROS;STATUS
15,00;1,44;5;5;6;6;6;4;1;0;0;0;0;2;1;1;0;0;0;1
13,49;1,54;4;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;2
12,68;3,32;7;1;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;2
17,91;1,00;7;6;8;8;5;7;5;5;0;0;0;0;0;0;0;0;0;1
16,94;1,32;8;4;8;9;5;5;8;6;0;0;0;0;0;0;0;1;0;1
13,14;4,68;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
6,23;5,37;1;1;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;2
16,66;1,91;8;4;6;6;6;2;0;0;0;0;2;2;0;1;0;0;0;1
1,38;1,19;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
16,12;2,26;7;7;6;5;6;5;5;6;2;2;0;0;0;0;0;1;0;1
16,03;1,26;6;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;2
13,71;3,81;6;5;3;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2
12,64;5,71;5;0;0;0;0;0;0;0;3;1;1;1;0;0;0;0;0;2
15,34;1,04;7;6;7;5;6;5;5;7;1;0;0;0;0;1;0;0;0;1
15,40;1,93;5;5;6;6;6;3;0;0;0;1;2;2;0;0;0;0;0;1
15,92;1,44;7;6;8;8;5;7;5;4;0;0;0;0;0;0;0;1;0;1
11,44;4,93;4;2;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;1
8,97;2,90;1;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;1
16,03;1,22;5;5;6;6;6;5;0;0;0;0;0;0;1;0;0;0;0;1
16,54;1,65;7;6;7;5;6;5;4;0;0;1;1;1;0;0;0;0;0;1
17,21;1,36;6;7;8;8;6;5;5;7;0;0;0;0;0;0;0;0;0;1
16,01;1,21;7;6;7;5;6;5;5;6;2;0;0;0;0;0;0;1;0;1
15,70;1,84;8;5;7;8;6;7;5;7;1;1;0;0;0;0;0;0;0;1
14,70;2,79;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
12,50;4,68;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
14,22;1,40;6;1;1;1;0;0;0;0;2;1;0;0;0;0;0;0;0;2
12,08;5,75;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
14,30;3,42;5;1;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;2
11,89;4,97;3;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1
15,63;1,74;7;6;7;5;6;5;5;7;0;0;0;0;0;2;1;0;0;1
15,21;1,49;5;5;6;5;4;1;0;0;1;1;1;1;2;0;0;0;0;1
12,35;4,16;5;3;1;1;0;0;0;0;3;4;2;0;0;0;0;0;0;1
14,82;2,29;5;4;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;2
11,23;7,36;5;1;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;2
12,73;3,02;6;4;1;0;0;0;0;0;5;3;2;0;1;0;0;0;0;2
12,60;5,14;3;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1
13,75;2,88;6;7;6;2;0;0;0;0;1;4;7;5;0;0;0;0;0;2
13,42;3,24;8;3;2;2;1;0;0;0;3;4;3;2;0;0;0;0;0;2
